cluster,word,frequency
0,ប្រាសាទ,199.0
0,មាន,169.0
0,បាន,157.0
0,នៃ,153.0
0,ត្រូវបាន,92.0
0,ដោយ,79.0
0,របស់,76.0
0,អង្គរវត្ត,66.0
0,ទៅ,66.0
0,ក្នុង,65.0
1,និង,223.0
1,ដែល,198.0
1,នៅ,157.0
1,នេះ,134.0
1,ជា,122.0
1,ថា,92.0
1,មួយ,69.0
1,គឺ,48.0
1,ទី,47.0
1,តាម,45.0
