k,silhouette_score
2,0.04783901199698448
3,0.045529939234256744
4,0.042849864810705185
5,0.032563939690589905
6,0.03393050655722618
7,0.037734124809503555
8,0.030019192025065422
9,0.02702934667468071
10,0.033723969012498856
