Cluster,Number of Words,Top Frequent Words,Interpretation
0,98,"ប្រាសាទ, មាន, បាន, នៃ, ត្រូវបាន, ដោយ, របស់, អង្គរវត្ត, ទៅ, ក្នុង",This cluster contains a broad group of contextual words from the temple corpus.
1,76,"និង, ដែល, នៅ, នេះ, ជា, ថា, មួយ, គឺ, ទី, តាម",This cluster contains a broad group of contextual words from the temple corpus.
