word,PC1,PC2,frequency
<UNK>,0.3149404,5.058616,0
។,-3.9247584,1.6959796,68
និង,3.115822,1.3620694,44
២,-3.7497773,-3.9451923,20
ម,1.2510347,-1.2211941,14
១២,3.6930082,-2.9873145,13
រឺ,2.099892,-0.26749927,13
គ,-2.80016,0.30453646,10
