word,PC1,PC2,frequency
<UNK>,4.581997,-3.0944803,0
។,0.27768195,-3.947762,68
និង,-2.2118862,5.1125884,44
២,4.4289503,0.88032055,20
ម,-5.624985,-2.567782,14
១២,2.926274,2.990425,13
រឺ,-2.8451746,-0.3434932,13
គ,-1.5328561,0.9701822,10
